PUBLICATION_DATE,TAXA_ID,ALGAL_GROUP,CLASS,FAMILY,GENUS,ORDER,PHYLUM,SPECIES,TARGET_TAXON
4/25/2021,3992,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,ACHNANTHES,PENNALES,CHRYSOPHYTA,,ACHNANTHES
4/25/2021,3993,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,COCCONEIS,PENNALES,CHRYSOPHYTA,COCCONEIS PEDICULUS,COCCONEIS PEDICULUS
4/25/2021,3994,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,COCCONEIS,PENNALES,CHRYSOPHYTA,COCCONEIS PLACENTULA,COCCONEIS PLACENTULA
4/25/2021,3995,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,COCCONEIS,PENNALES,CHRYSOPHYTA,,COCCONEIS
4/25/2021,3996,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,PLANOTHIDIUM,PENNALES,CHRYSOPHYTA,PLANOTHIDIUM LANCEOLATUM,PLANOTHIDIUM LANCEOLATUM
4/25/2021,3997,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,PLANOTHIDIUM,PENNALES,CHRYSOPHYTA,,PLANOTHIDIUM
4/25/2021,3998,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,PSAMMOTHIDIUM,PENNALES,CHRYSOPHYTA,PSAMMOTHIDIUM CURTISSIMUM,PSAMMOTHIDIUM CURTISSIMUM
4/25/2021,3999,DIATOM,BACILLARIOPHYCEAE,ACHNANTHACEAE,PSAMMOTHIDIUM,PENNALES,CHRYSOPHYTA,,PSAMMOTHIDIUM
4/25/2021,4000,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM CATENATUM,ACHNANTHIDIUM CATENATUM
4/25/2021,4001,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM DUTHIEI,ACHNANTHIDIUM DUTHIEI
4/25/2021,4002,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM EXIGUUM,ACHNANTHIDIUM EXIGUUM
4/25/2021,4003,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM EXILIS,ACHNANTHIDIUM EXILIS
4/25/2021,4004,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM GRACILLIMUM,ACHNANTHIDIUM GRACILLIMUM
4/25/2021,4005,DIATOM,BACILLARIOPHYCEAE,ACHNANTHIDIACEAE,ACHNANTHIDIUM,PENNALES,CHRYSOPHYTA,ACHNANTHIDIUM HUNGARICUM,ACHNANTHIDIUM HUNGARICUM
