PTOX_Species,Cyanotoxins,Genus-group,MIC-Vs-CYL,Reference
Anabaenopsis arnoldii,MIC,Anabaenopsis,MIC,Chapman & Foss (2020)
Anabaenopsis milleri,MIC,Anabaenopsis,MIC,Chapman & Foss (2020)
Anabaena spp. (Dolichospermum spp.),ANA,,,Chapman & Foss (2020); Chorus & Welker (2021).
Anabaena lapponica,CYL,Anabaena,CYL,Chapman & Foss (2020)
Anabaena subcylindrica,MIC,Anabaena,MIC,Chapman & Foss (2020)
Aphanizomenon sp,ANA,,,Chorus & Welker (2021)
Aphanizomenon favaloroi,SAX,,,Chorus & Welker (2021)
Aphanizomenon flos-aquae ,ANA_CYL_SAX,Aphanizomenon,CYL,Chapman & Foss (2020); Chorus & Welker (2021).
Aphanizomenon gracile,CYL_SAX,Aphanizomenon,CYL,Chapman & Foss (2020); Chorus & Welker (2021).
Aphanocapsa cumulus,MIC,Aphanocapsa,MIC,Chapman & Foss (2020)
Arthrospira fusiformis (Arthrospira sp),ANA_MIC,Arthrospira,MIC,Chapman & Foss (2020); Chorus & Welker (2021).
Blennothrix lyngbyacea (previously Hydrocoleum lyngbyaceum),ANA,,,Chapman & Foss (2020)
Chrysosporum bergii (previously Anabaena),CYL_MIC,Chrysosporum ,CYL_MIC,Chapman & Foss (2020)
Chrysosporum ovalisporum (previously Aphanizomenon),CYL,Cuspidothrix,CYL,Chapman & Foss (2020)
Cuspidothrix issatschenkoi (previously Aphanizomenon),ANA_SAX,,,Chapman & Foss (2020); Chorus & Welker (2021).
Raphidiopsis raciborskii (previously called Cylindrospermopsis raciborskii),ANA_CYL_SAX,Raphidiopsis/ Cylindrospermopsis,CYL,Chapman & Foss (2020); Chorus & Welker (2021).
Cylindrospermum sp.,ANA,,,Chapman & Foss (2020); Chorus & Welker (2021).
Cylindrospermum stagnale,SAX,,,Chapman & Foss (2020)
Desmonostoc muscorum (previously Nostoc muscorum),MIC,Desmonostoc,MIC,Chapman & Foss (2020)
Dolichospermum circinale (previously Anabaena circinalis),ANA_MIC_SAX,Dolichospermum,MIC,Chapman & Foss (2020); Chorus & Welker (2021).
Dolichospermum crassum (previously Anabaena crassa),ANA,,,Chapman & Foss (2020)
Dolichospermum flos-aquae (previously Anabaena flos-aquae),ANA_MIC,Dolichospermum,,Chapman & Foss (2020); Chorus & Welker (2021).
Dolichospermum lemmermannii (previously Anabaena lemmermannii),ANA_MIC_CYN_SAX,Dolichospermum,CYL_MIC,Chapman & Foss (2020); Chorus & Welker (2021).
Dolichospermum macrosporum (previously Anabaena macrospora),ANA,,,Chapman & Foss (2020)
Dolichospermum planctonicum (previously Anabaena planctonica),ANA,,,Chapman & Foss (2020)
Dolichospermum mendotae (previously Anabaena mendotae),ANA_CYL,Dolichospermum,CYL,Chapman & Foss (2020); Chorus & Welker (2021).
Dolichospermum spiroides (previously Anabaena spiroides),ANA_SAX,,,Chapman & Foss (2020); Chorus & Welker (2021).
Dolichospermum sp. (Anabaena sp.),MIC,Dolichospermum,MIC,Chapman & Foss (2020)
Fischerella sp.,MIC,Fischerella,MIC,Chapman & Foss (2020)
Geitlerinema splendidum (previously Phormidium splendidum),MIC_ANA,Geitlerinema,MIC,Chapman & Foss (2020)
Gloeotrichia echinulata,MIC,Gloeotrichia,MIC,Chapman & Foss (2020)
Gloeotrichia natans,MIC,Gloeotrichia,MIC,Chapman & Foss (2020)
Hapalosiphon hibernicus,MIC,Hapalosiphon,MIC,Chapman & Foss (2020)
Heteroscytonema crispum (previously Scytonema crispum),SAX,,,Chapman & Foss (2020)
Kamptonema formosum (previously Phormidium formosum),ANA,,,Chapman & Foss (2020)
Leptolyngbya sp.,MIC,Leptolyngbya,MIC,Chapman & Foss (2020)
Leptolyngbya boryana (previously Plectonema boryanum),MIC,Leptolyngbya/ Plectonema,MIC,Chapman & Foss (2020)
Limnothrix redekei,MIC,Limnothrix,MIC,Chapman & Foss (2020)
Limnothrix sp.,MIC,Limnothrix,MIC,Chapman & Foss (2020)
Merismopedia sp.,MIC,Merismopedia,MIC,Chapman & Foss (2020)
Merismopedia cf. tenuissima,MIC,Merismopedia,MIC,Chapman & Foss (2020)
Microcoleus autumnalis (previously Phormidium autumnale),ANA_MIC,Microcoleus/ Phormidium,MIC,Chapman & Foss (2020); Chorus & Welker (2021).
Microcystis aeruginosa,MIC,Microcystis,MIC,Chapman & Foss (2020)
Microcystis botrys,MIC,Microcystis,MIC,Chapman & Foss (2020)
Microcystis ichthyoblabe,MIC,Microcystis,MIC,Chapman & Foss (2020)
Microcystis panniformis,MIC,Microcystis,MIC,Chapman & Foss (2020)
